0.2 --> 4.42  join kids had family
28.71 --> 36.67  will you help me to do my homework Tia
33.27 --> 41.11  tofu it's dinner time and you haven't
36.67 --> 43.120000000000005  completed your homework yet I hope you
41.11 --> 46.15  know that your teacher will be really
43.12 --> 49.419999999999995  angry I will do it after this cartoon
46.15 --> 52.809  Tia but please help me so that I can
49.42 --> 55.84  finish it fast you have been watching TV
52.809 --> 60.22  all day you should get up and do your
55.84 --> 64.199  homework first my hand has been hurting
60.22 --> 67.63  since morning I'm giving it some rest
64.199 --> 71.8  also dear sister will you please get my
67.63 --> 74.83  bag and pencil box from the room excuses
71.8 --> 78.09  and more exchanges he should know his
74.83 --> 78.09  priorities right
114.46 --> 136.12  Oh No there is my book I can't find it
129.729 --> 138.64000000000001  how does that forget it in school what
136.12 --> 141.67000000000002  will I tell my teacher in school you
138.64 --> 145.6  should be more responsible tofu you are
141.67 --> 148.14999999999998  a big boy now anyway complete the rest
145.6 --> 151.709  of your homework at least now and be
148.15 --> 151.709  more careful next time onwards
167.58 --> 194.98000000000002  so tofu let me tell you a story in a
190.54 --> 197.909  land far away lived a hardworking and
194.98 --> 197.909  kind trader
200.94 --> 205.29  mostly he traded insult
209.72 --> 219.18  he also had a horse that was very lazy
213.84 --> 222.299  and always avoided work the trader used
219.18 --> 224.989  him to carry sacks of salt from one town
222.299 --> 224.989  to the other
247.349 --> 254.79899999999998  here let me load these sacks up and
251.17 --> 258.729  let's go to the town across the river to
254.799 --> 261.729  sell this salt I am so tired today why
258.729 --> 264.88  do I have to work everyday I wish I
261.729 --> 267.669  could sleep throughout the day but no I
264.88 --> 278.68  have to carry these loads of salt and
267.669 --> 281.79999999999995  move come on horse start walking
278.68 --> 285.33  cross that bridge until then I'll pack
281.8 --> 285.33  some food for myself
299.669 --> 307.21  the horse was crossing the river
303.87 --> 314.56  suddenly he slipped and fell into the
307.21 --> 317.349  water as he was carrying sacks of salt
314.56 --> 320.82  on his back the salt got wet and
317.349 --> 320.82  dissolved in the water
324.399 --> 344.269  so when the horse gotta the sucks on his
331.159 --> 348.709  back were lighter the hast taught to
344.269 --> 351.83  himself wow this seems to be a good idea
348.709 --> 354.229  every time I dip in the river the salt
351.83 --> 357.889  would dissolve and my burden could be
354.229 --> 362.86  less I must try doing this more often
357.889 --> 362.86  I hope master is not watching
368.46 --> 374.85999999999996  when the master reached the town to sell
371.56 --> 377.82  the salt it weighed just half of what he
374.86 --> 379.0  loaded thinking it might be his
377.82 --> 382.26  miscalculation
379.0 --> 401.23  he sold whatever salt was left and
382.26 --> 404.34999999999997  returned home with his horse the next
401.23 --> 408.55  morning he again loaded his horse with
404.35 --> 415.57000000000005  the sacks of salt and started to pack
408.55 --> 419.38  his food the horse yet again started
415.57 --> 423.31  walking before him and made it to the
419.38 --> 427.74  bridge I must try the dipping trick
423.31 --> 427.74  again before master reaches here
471.22 --> 476.20000000000005  the trader got really confused
476.799 --> 483.099  as the sack started winged lesser every
480.799 --> 483.099  time
487.5 --> 497.8  the horse purposely started slipping
490.69 --> 501.24  into the water everyday so that the
497.8 --> 501.24  sacks became lighter
513.86 --> 520.37  one day the trader followed the Hoss and
533.24 --> 536.72  hid in the bushes
543.61 --> 550.45  to his surprise he noticed the horses
547.73 --> 550.45  new trick
557.07 --> 568.2900000000001  oh that's so cunning I must teach this
562.05 --> 571.649  lazy Haas a lesson soon so the following
568.29 --> 577.079  day instead of salt the trader filled
571.649 --> 580.25  the sacks with Haughton and tied him to
577.079 --> 580.25  the horses back
593.389 --> 600.32  out of his new habit the horse purposely
597.3 --> 600.3199999999999  fell into the river
607.16 --> 615.4699999999999  oh no no what is happening today what is
612.53 --> 620.93  going wrong how are these sacks getting
615.47 --> 623.36  heavier oh my back hurts what this time
620.93 --> 629.0  as the sacks were filled with cotton
623.36 --> 631.76  it's soft water and became heavier the
629.0 --> 634.94  Hoss dipped again and again in water
631.76 --> 642.95  thinking to drain the salt off somehow
634.94 --> 651.8000000000001  but all went in vain he somehow managed
642.95 --> 655.1600000000001  to get up and cross the bridge he sat on
651.8 --> 659.41  the ground and panted as the sacks had
655.16 --> 659.41  cotton surely surely heavy
670.089 --> 678.6790000000001  the trader laughed at him and said horse
674.629 --> 682.489  I am your master this is your work I
678.679 --> 686.299  work very hard and worship my work I
682.489 --> 691.099  don't make excuses of fine tricks to
686.299 --> 694.249  fool others and avoid work I must teach
691.099 --> 697.879  you to never repeat this and avoid your
694.249 --> 706.909  work the horse learned his lesson and
697.879 --> 712.669  never tried to avoid his work again what
706.909 --> 715.959  a wise trader right tofu he taught the
712.669 --> 719.509  lazy husks a good lesson
715.959 --> 726.529  come let me give you the big bitter
719.509 --> 729.619  medicine for your hand but hey I can see
726.529 --> 733.069  it's totally fine now maybe you have
729.619 --> 736.759  forgotten about the pain yeah I never
733.069 --> 738.1089999999999  had any pain I just wanted to sit and
736.759 --> 745.009  watch cartoons
738.109 --> 748.0690000000001  I was the lazy hospital I am sorry dear
745.009 --> 751.479  I'm jolly about it about my teacher
748.069 --> 751.4789999999999  scolding me tomorrow
754.49 --> 762.63  here take your books tofu I also was the
759.6 --> 767.07  trader today I just wanted you to learn
762.63 --> 769.02  a lesson now you should promise me that
767.07 --> 771.57  you will always do your work
769.02 --> 772.0799999999999  and yes I will help you with your
771.57 --> 776.5200000000001  homework
772.08 --> 779.19  Oh Thank You TIA please let's finish my
776.52 --> 784.67  homework quickly I don't want to be lazy
779.19 --> 788.1600000000001  at all I will always finish all my work
784.67 --> 797.16  before doing anything else I promise you
788.16 --> 800.43  that for your favorite times stories and
797.16 --> 803.2099999999999  more join kids have family subscribe
800.43 --> 803.2099999999999  here
