0.599 --> 4.399  join kids Hat Family
22.64 --> 30.66  Tia I guess we have come too far from
26.82 --> 32.64  our camp when will we go back I'm
30.66 --> 36.92  feeling hungry
32.64 --> 36.92  it will take some time tofu
44.7 --> 49.32  I think I can treat on them for the time
47.579 --> 52.86  being
49.32 --> 54.84  tofu stop do you even know what those
52.86 --> 58.739  berries are about
54.84 --> 61.92  they look yum to me that is all I know
58.739 --> 63.839999999999996  but they can be poisonous you are in the
61.92 --> 66.84  middle of a jungle
63.84 --> 66.84  poisonous
67.56 --> 73.58  come let me tell you a story on our way
70.619 --> 73.58  back to the camp
78.14 --> 85.02  on a long sunny day there was a fox
81.54 --> 88.799  walking in a desert hungry and thirsty
85.02 --> 92.29899999999999  all that he could see was miles of sand
88.799 --> 92.299  and Barren rocks
92.78 --> 99.6  oh it is so hot
95.88 --> 104.0  I need water badly he kept on walking
99.6 --> 104.0  and suddenly he saw a well
109.5 --> 119.18  thank God I finally found a well
114.299 --> 119.18  now I will no longer be thirsty
119.579 --> 124.52  he ran and ran in great excitement
125.219 --> 131.42  the moment he leaped on the wells wall
128.16 --> 131.42  to check water
132.42 --> 141.23899999999998  he lost his balance and fell in the well
136.04 --> 143.54  help help somebody please help me this
141.239 --> 148.459  one is really deep
143.54 --> 152.64  how would I ever get out of this place
148.459 --> 155.519  nearby a goat was passing the well when
152.64 --> 158.17999999999998  she heard the fox she went to peep over
155.519 --> 158.18  the well
158.959 --> 164.34  hey socks
161.22 --> 169.26  what are you doing inside this well
164.34 --> 172.98000000000002  oh goat isn't it too hot outside I just
169.26 --> 176.22  came into this world to cool myself off
172.98 --> 179.34  why don't you also hop in and enjoy this
176.22 --> 182.22  cool and refreshing water not even
179.34 --> 185.0  thinking for a second the goat jumped
182.22 --> 185.0  into the well
189.44 --> 197.519  hey Fox you were right
192.959 --> 202.34  this water is actually very refreshing
197.519 --> 202.34  I could spend all my day out here
202.68 --> 209.12  after some time the goat stops and asks
206.58 --> 209.12  the fox
209.28 --> 214.2  wait a second
211.44 --> 216.319  how in the world will we manage to get
214.2 --> 220.79899999999998  out of this world
216.319 --> 224.33999999999997  oh it's going to be simple if you stand
220.799 --> 226.62  on your two feet and push me up I can
224.34 --> 230.159  manage to reach to the top of the well
226.62 --> 233.22  and then pop out of the well
230.159 --> 237.92  the goat once again without thinking
233.22 --> 237.92  twice does as the fox said
239.819 --> 246.14  what about me
241.739 --> 249.78  would I get out ha ha ha ha ha
246.14 --> 252.2  I guess you have to think about it on
249.78 --> 252.2  your own
253.739 --> 259.199  the world the last YouTube you should
257.4 --> 263.15999999999997  have thought about the consequences
259.199 --> 265.40000000000003  before taking any actions
263.16 --> 265.40000000000003  foreign
269.3 --> 277.139  should look before one leaps yeah tofu
273.479 --> 280.5  always because you never know what
277.139 --> 283.32  danger you might get into and those wild
280.5 --> 284.22  berries they might have been harmful for
283.32 --> 286.32  you
284.22 --> 289.8  yeah
286.32 --> 293.699  one should always check before taking a
289.8 --> 297.06  step further look there is a camp and I
293.699 --> 301.04  can already smell the dinner is ready
297.06 --> 301.04  okay let's go
319.32 --> 325.4  Tia I can't do it try tofu you can
335.639 --> 338.639  ah
351.62 --> 357.479  Tia I can't anyways it's too high for me
355.8 --> 361.319  and I'm too short
357.479 --> 362.88  listen tofu I have a story for you would
361.319 --> 365.34000000000003  you want to hear it
362.88 --> 368.84  sure
365.34 --> 368.84  the sour grapes
369.18 --> 372.18  foreign
375.18 --> 379.22  there lived a furry Fox
379.38 --> 385.4  he was wandering around the forest in
382.68 --> 385.40000000000003  search of food
387.6 --> 393.44  I am so hungry I need to eat something
399.0 --> 402.0  foreign
408.38 --> 415.099  was passing a Vineyard but he wasn't
411.66 --> 415.09900000000005  aware it was one
418.199 --> 425.479  I am so hungry that I can't even see
421.86 --> 425.47900000000004  what that round thing is
425.72 --> 431.819  he went a little ahead but stopped as he
429.72 --> 433.52000000000004  noticed the smell of the delicious
431.819 --> 437.22  grapes
433.52 --> 439.19899999999996  wow there are so many grapes in this
437.22 --> 443.40000000000003  Vineyard
439.199 --> 443.40000000000003  my mouth watering
445.02 --> 450.74  the fox looked at the Grapevine and
448.199 --> 450.74  drooled
454.86 --> 459.02000000000004  jumped up towards the crepes
459.08 --> 464.3  but the grapes were too high for him
466.259 --> 472.91900000000004  he tried and tried but the effort was
470.28 --> 476.75899999999996  futile
472.919 --> 479.96  he tried again and this time he was
476.759 --> 479.96000000000004  about to touch them
481.139 --> 484.699  but failed again
484.879 --> 490.91900000000004  oh I am so tired these grapes are too
489.96 --> 495.29999999999995  high
490.919 --> 498.539  I can't reach them at any cost
495.3 --> 502.08  he sat there and thought for a long time
498.539 --> 505.52  that how he can get those grapes
502.08 --> 509.12  he suddenly got up and said to himself
505.52 --> 514.039  those grapes are probably sour
509.12 --> 514.039  in fact I don't like grapes
514.08 --> 521.159  why should I try so hard for them
518.279 --> 525.8  the fox couldn't reach the grapes and
521.159 --> 525.8  hence escaped by making excuses
528.2 --> 536.779  but his tummy kept growling of hunger
531.72 --> 536.779  and he had to go without eating anything
537.019 --> 540.019  foreign
542.48 --> 549.779  the fox had to go empty-handed because
546.42 --> 553.14  he just made an excuse
549.779 --> 557.22  always remember you won't achieve your
553.14 --> 562.1  goals if you give up by making excuses
557.22 --> 562.1  so let's go and try again
567.68 --> 573.019  thank you
569.82 --> 573.019  all right now
594.08 --> 601.86  will you help me to do my homework Tia
598.8 --> 605.12  tofu it's dinner time and you haven't
601.86 --> 607.74  completed your homework yet
605.12 --> 611.04  I hope you know that your teacher will
607.74 --> 614.7  be really angry I will do it after this
611.04 --> 617.2199999999999  cartoon Tia but please help me so that I
614.7 --> 620.5790000000001  can finish it fast you have been
617.22 --> 623.7  watching TV all day you should get up
620.579 --> 626.4799999999999  and do your homework first
623.7 --> 629.5790000000001  my hand has been hurting since morning
626.48 --> 633.0  I'm giving it some rest
629.579 --> 636.14  also dear sister will you please get my
633.0 --> 639.18  bag and pencil box from the room
636.14 --> 643.399  excuses and more excuses
639.18 --> 643.399  he should know his priorities right
662.04 --> 665.04  Christmas
681.079 --> 684.079  thank you
690.32 --> 697.22  oh no where is my book I can't find it
695.04 --> 697.2199999999999  here
697.519 --> 703.32  did I forget it in school
700.86 --> 706.92  what will I tell my teacher in school
703.32 --> 708.779  you should be more responsible tofu you
706.92 --> 711.36  are a big boy now
708.779 --> 713.82  anyway complete the rest of your
711.36 --> 717.38  homework at least now and be more
713.82 --> 717.38  careful next time onwards
732.8 --> 737.8389999999999  so tofu let me tell you a story
754.82 --> 763.279  in a land far away
758.12 --> 763.279  lived a hard-working and kind Trader
766.38 --> 770.54  mostly he traded in salt
775.22 --> 782.82  he also had a horse that was very lazy
779.339 --> 786.1800000000001  and always avoided work
782.82 --> 790.4590000000001  the trader used him to carry sacks of
786.18 --> 790.459  salt from one town to the other
812.54 --> 820.139  here let me load these sacks up and
816.839 --> 824.1  let's go to the town across the river to
820.139 --> 827.1  sell this salt I am so tired today why
824.1 --> 830.639  do I have to work every day I wish I
827.1 --> 832.98  could sleep throughout the day but no I
830.639 --> 835.279  have to carry these loads of salt and
832.98 --> 835.279  move
835.74 --> 838.4590000000001  foreign
841.579 --> 848.0999999999999  horse start walking cross that bridge
845.22 --> 850.399  until then I'll pack some food for
848.1 --> 850.399  myself
865.44 --> 869.4200000000001  the horse was crossing the river
869.579 --> 874.8199999999999  suddenly he slipped and fell into the
872.699 --> 874.8199999999999  water
877.32 --> 883.6800000000001  as he was carrying sacks of salt on his
880.38 --> 886.04  back the salt got wet and dissolved in
883.68 --> 886.04  the water
895.139 --> 901.0790000000001  the sacks on his back were lighter
